"type","path","name","code"
"assertion","\i2b2\Demographics\Zip codes\Florida\West Palm\33405\","33405","DEM|ZIPCODE:33405"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Quinter\67752\","67752","DEM|ZIPCODE:67752"
"assertion","\i2b2\Demographics\Zip codes\West Virginia\Gilboa\26671\","26671","DEM|ZIPCODE:26671"
"assertion","\i2b2\Demographics\Zip codes\Wisconsin\Belgium\53004\","53004","DEM|ZIPCODE:53004"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Pearisburg\24134\","24134","DEM|ZIPCODE:24134"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Pembroke\24136\","24136","DEM|ZIPCODE:24136"
"assertion","\i2b2\Demographics\Zip codes\Louisiana\Rosepine\70659\","70659","DEM|ZIPCODE:70659"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Grainfield\67737\","67737","DEM|ZIPCODE:67737"
"assertion","\i2b2\Demographics\Zip codes\Kentucky\Alpha\42603\","42603","DEM|ZIPCODE:42603"
"assertion","\i2b2\Demographics\Zip codes\Washington\Uniontown\99179\","99179","DEM|ZIPCODE:99179"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Fort Leavenworth\66027\","66027","DEM|ZIPCODE:66027"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Sandy Hook\23153\","23153","DEM|ZIPCODE:23153"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Titonka\50480\","50480","DEM|ZIPCODE:50480"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Altoona\50009\","50009","DEM|ZIPCODE:50009"
"assertion","\i2b2\Demographics\Zip codes\Maryland\Wingate\21675\","21675","DEM|ZIPCODE:21675"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Buhler\67522\","67522","DEM|ZIPCODE:67522"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Urbanna\23175\","23175","DEM|ZIPCODE:23175"
"assertion","\i2b2\Demographics\Zip codes\Wisconsin\Plymouth\53073\","53073","DEM|ZIPCODE:53073"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Emmetsburg\50536\","50536","DEM|ZIPCODE:50536"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Lincoln\50652\","50652","DEM|ZIPCODE:50652"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Stone Mountain\30088\","30088","DEM|ZIPCODE:30088"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Topeka\66628\","66628","DEM|ZIPCODE:66628"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Topeka\66629\","66629","DEM|ZIPCODE:66629"
"assertion","\i2b2\Demographics\Zip codes\Wisconsin\West Bend\53095\","53095","DEM|ZIPCODE:53095"
"assertion","\i2b2\Demographics\Zip codes\West Virginia\Ravenswood\26164\","26164","DEM|ZIPCODE:26164"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Dulles\20199\","20199","DEM|ZIPCODE:20199"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Luray\22835\","22835","DEM|ZIPCODE:22835"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Lynchburg\24504\","24504","DEM|ZIPCODE:24504"
"assertion","\i2b2\Demographics\Zip codes\Texas\Waco\76701\","76701","DEM|ZIPCODE:76701"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Sloan\51055\","51055","DEM|ZIPCODE:51055"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Pitts\31072\","31072","DEM|ZIPCODE:31072"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Plainfield\31073\","31073","DEM|ZIPCODE:31073"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Macon\31220\","31220","DEM|ZIPCODE:31220"
"assertion","\i2b2\Demographics\Zip codes\Texas\El Paso\79983\","79983","DEM|ZIPCODE:79983"
"assertion","\i2b2\Demographics\Zip codes\Texas\Goodfellow Afb\76908\","76908","DEM|ZIPCODE:76908"
"assertion","\i2b2\Demographics\Zip codes\Texas\Gorman\76454\","76454","DEM|ZIPCODE:76454"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Fargo\31631\","31631","DEM|ZIPCODE:31631"
"assertion","\i2b2\Demographics\Zip codes\Kentucky\Grayson\41143\","41143","DEM|ZIPCODE:41143"
